optimizer,learning_rate,start_x,start_y,function,final_point,iterations,runtime,converged
adam,0.001,-1.0,1.0,rosenbrock,"[0.6500878605722145, 0.42064481111467383]",1999,0.030998945236206055,True
adam,0.01,-1.0,1.0,rosenbrock,"[0.9921905058735032, 0.9844122236917003]",797,0.011999130249023438,True
adam,0.1,-1.0,1.0,rosenbrock,"[0.9937942750057569, 0.9876057867111705]",543,0.007999420166015625,True
adam,1.0,-1.0,1.0,rosenbrock,"[0.7503054272131716, 0.5505363576396424]",1999,0.031012773513793945,True
gd,0.001,0.0,0.0,rosenbrock,"[0.8222049453842208, 0.6752310154432241]",1999,0.018001079559326172,True
gd,0.01,0.0,0.0,rosenbrock,"[nan, nan]",1999,0.014998435974121094,True
gd,0.1,0.0,0.0,rosenbrock,"[nan, nan]",1999,0.05299973487854004,True
gd,1.0,0.0,0.0,rosenbrock,"[1634262016, 716012800]",1999,0.03200078010559082,True
newton,0.1,0.0,0.0,rosenbrock,"[1.0, 1.0000000000000002]",2,0.0,True
newton,0.5,0.0,0.0,rosenbrock,"[1.0, 1.0000000000000002]",2,0.0,True
newton,2.0,0.0,0.0,rosenbrock,"[1.0, 1.0000000000000002]",2,0.00099945068359375,True
adagrad,0.01,0.0,0.0,rosenbrock,"[0.6914234814401816, 0.47777602338878644]",1999,0.022999286651611328,True
adagrad,0.1,0.0,0.0,rosenbrock,"[0.9276140459983705, 0.8610970200571785]",1272,0.015001535415649414,True
adagrad,1.0,0.0,0.0,rosenbrock,"[0.921700159715787, 0.8484383320123197]",1480,0.018000364303588867,True
adagrad,5.0,0.0,0.0,rosenbrock,"[0.32579040822175737, 0.10569589141426088]",1999,0.025000572204589844,True
adam,0.0001,0.0,0.0,rosenbrock,"[0.1918782096899022, 0.036816211142177084]",1999,0.0339961051940918,True
adam,0.001,0.0,0.0,rosenbrock,"[0.9773657026020952, 0.9552387687625221]",1999,0.03526592254638672,True
adam,0.01,0.0,0.0,rosenbrock,"[0.9946775581672168, 0.989367025475726]",381,0.007297039031982422,True
adam,0.1,0.0,0.0,rosenbrock,"[0.9850041973345565, 0.9706364558585298]",198,0.0036191940307617188,True
adam,1.0,0.0,0.0,rosenbrock,"[0.9947013261957929, 0.9894111273285018]",304,0.005234241485595703,True
gd,0.001,2.0,4.0,rosenbrock,"[1.3031719009408194, 1.6992710825190782]",1999,0.019845962524414062,True
gd,0.01,2.0,4.0,rosenbrock,"[nan, nan]",1999,0.014966487884521484,True
gd,0.1,2.0,4.0,rosenbrock,"[nan, nan]",1999,0.014681577682495117,True
gd,1.0,2.0,4.0,rosenbrock,"[-689983486, 695288580]",1999,0.031815290451049805,True
newton,0.1,2.0,4.0,rosenbrock,"[0.999999999999908, 0.9999999999998157]",2,0.0005161762237548828,True
newton,0.5,2.0,4.0,rosenbrock,"[0.999999999999908, 0.9999999999998157]",2,0.0,True
newton,2.0,2.0,4.0,rosenbrock,"[0.999999999999908, 0.9999999999998157]",2,0.0005180835723876953,True
adagrad,0.01,2.0,4.0,rosenbrock,"[1.8468421991813084, 3.4128707340221665]",1999,0.023471832275390625,True
adagrad,0.1,2.0,4.0,rosenbrock,"[1.740815291013882, 3.032065343407143]",1999,0.02399921417236328,True
adagrad,1.0,2.0,4.0,rosenbrock,"[1.4713927289547784, 2.1662435567656417]",1999,0.025000572204589844,True
adagrad,5.0,2.0,4.0,rosenbrock,"[-0.2153953324172312, 0.047136906151215956]",1999,0.02712416648864746,True
adam,0.0001,2.0,4.0,rosenbrock,"[1.9484493785848152, 3.798870897982548]",1999,0.03151655197143555,True
adam,0.001,2.0,4.0,rosenbrock,"[1.465893179810368, 2.1504037487718244]",1999,0.031011104583740234,True
adam,0.01,2.0,4.0,rosenbrock,"[1.0078395235602489, 1.0157616080853662]",1346,0.020018339157104492,True
adam,0.1,2.0,4.0,rosenbrock,"[1.0077021859291464, 1.0154831172062584]",1288,0.01946115493774414,True
adam,1.0,2.0,4.0,rosenbrock,"[0.9923168740031596, 0.9846709240047505]",820,0.012997865676879883,True
gd,0.001,-2.0,-2.0,multimodal,"[-2.593629312695278, -2.593629312695278]",550,0.008039236068725586,True
gd,0.01,-2.0,-2.0,multimodal,"[-2.5950833364358448, -2.5950833364358448]",63,0.0009710788726806641,True
gd,0.1,-2.0,-2.0,multimodal,"[-2.5955897286932834, -2.5955897286932834]",3,0.0,True
gd,1.0,-2.0,-2.0,multimodal,"[62.62433719716856, 62.62433719716856]",1999,0.032752275466918945,True
newton,0.1,-2.0,-2.0,multimodal,"[-2.5957580058246856, -2.5957580058246856]",3,0.0,True
newton,0.5,-2.0,-2.0,multimodal,"[-2.5957580058246856, -2.5957580058246856]",3,0.0,True
newton,2.0,-2.0,-2.0,multimodal,"[-2.5957580058246856, -2.5957580058246856]",3,0.0009992122650146484,True
adagrad,0.01,-2.0,-2.0,multimodal,"[-2.5611305565830107, -2.5611305565830107]",1999,0.03703784942626953,True
adagrad,0.1,-2.0,-2.0,multimodal,"[-2.5950024831741043, -2.5950024831741043]",68,0.001001596450805664,True
adagrad,1.0,-2.0,-2.0,multimodal,"[-2.595508684944067, -2.595508684944067]",10,0.0010004043579101562,True
adagrad,5.0,-2.0,-2.0,multimodal,"[-2.596371752570707, -2.596371752570707]",75,0.0009987354278564453,True
adam,0.0001,-2.0,-2.0,multimodal,"[-2.188749143167325, -2.188749143167325]",1999,0.0409998893737793,True
adam,0.001,-2.0,-2.0,multimodal,"[-2.5930615808333273, -2.5930615808333273]",1406,0.02899909019470215,True
adam,0.01,-2.0,-2.0,multimodal,"[-2.595594953657225, -2.595594953657225]",104,0.0020003318786621094,True
adam,0.1,-2.0,-2.0,multimodal,"[-2.594479358225093, -2.594479358225093]",113,0.0029993057250976562,True
adam,1.0,-2.0,-2.0,multimodal,"[-2.5948440077273274, -2.5948440077273274]",108,0.0020003318786621094,True
gd,0.001,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
gd,0.01,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
gd,0.1,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
gd,1.0,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
newton,0.1,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
newton,0.5,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
newton,2.0,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
adagrad,0.01,0.0,0.0,multimodal,"[0.0, 0.0]",0,0.0,True
adagrad,0.1,0.0,0.0,multimodal,"[0.0, 0.0]",0,0.0,True
adagrad,1.0,0.0,0.0,multimodal,"[0.0, 0.0]",0,0.0,True
adagrad,5.0,0.0,0.0,multimodal,"[0.0, 0.0]",0,0.0,True
adam,0.0001,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
adam,0.001,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
adam,0.01,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
adam,0.1,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
adam,1.0,0.0,0.0,multimodal,"[0, 0]",0,0.0,True
gd,0.001,3.0,3.0,multimodal,"[2.597863465344967, 2.597863465344967]",487,0.008000373840332031,True
gd,0.01,3.0,3.0,multimodal,"[2.5963801084225495, 2.5963801084225495]",57,0.0009989738464355469,True
gd,0.1,3.0,3.0,multimodal,"[2.5956181091241644, 2.5956181091241644]",3,0.0,True
gd,1.0,3.0,3.0,multimodal,"[318.2473408596954, 318.2473408596954]",1999,0.031002044677734375,True
newton,0.1,3.0,3.0,multimodal,"[2.5958221299253363, 2.5958221299253363]",2,0.0,True
newton,0.5,3.0,3.0,multimodal,"[2.5958221299253363, 2.5958221299253363]",2,0.0010020732879638672,True
newton,2.0,3.0,3.0,multimodal,"[2.5958221299253363, 2.5958221299253363]",2,0.0,True
adagrad,0.01,3.0,3.0,multimodal,"[2.6004060547467653, 2.6004060547467653]",1817,0.033998727798461914,True
adagrad,0.1,3.0,3.0,multimodal,"[2.5963247317036813, 2.5963247317036813]",41,0.001001119613647461,True
adagrad,1.0,3.0,3.0,multimodal,"[2.5955031490063276, 2.5955031490063276]",11,0.0,True
adagrad,5.0,3.0,3.0,multimodal,"[-2.596401385781868, -2.596401385781868]",74,0.002000570297241211,True
adam,0.0001,3.0,3.0,multimodal,"[2.822612482552649, 2.822612482552649]",1999,0.04099845886230469,True
adam,0.001,3.0,3.0,multimodal,"[2.5981923839170564, 2.5981923839170564]",1041,0.021999835968017578,True
adam,0.01,3.0,3.0,multimodal,"[2.595360475690087, 2.595360475690087]",112,0.003000020980834961,True
adam,0.1,3.0,3.0,multimodal,"[2.595975302457345, 2.595975302457345]",104,0.0020003318786621094,True
adam,1.0,3.0,3.0,multimodal,"[2.596609455747888, 2.596609455747888]",123,0.002999544143676758,True
